unit,time,y,treated
t2,2024-12-30,116.4,1
t3,2024-12-30,118.4,1
c1,2025-01-06,116.3,0
c2,2025-01-06,119.3,0
c3,2025-01-06,121.8,0
t1,2025-01-06,117.3,1
t2,2025-01-06,120.3,1
t3,2025-01-06,122.3,1
c1,2025-01-13,113.6,0
c2,2025-01-13,116.6,0
c3,2025-01-13,119.1,0
t1,2025-01-13,114.6,1
t2,2025-01-13,117.6,1
t3,2025-01-13,119.6,1
c1,2025-01-20,116.6,0
c2,2025-01-20,119.6,0
c3,2025-01-20,122.1,0
t1,2025-01-20,117.6,1
t2,2025-01-20,120.6,1
t3,2025-01-20,122.6,1
c1,2025-01-27,117.9,0
c2,2025-01-27,120.9,0
c3,2025-01-27,123.4,0
t1,2025-01-27,118.9,1
t2,2025-01-27,121.9,1
t3,2025-01-27,123.9,1
c1,2025-02-03,117.2,0
c2,2025-02-03,120.2,0
c3,2025-02-03,122.7,0
t1,2025-02-03,118.2,1
t2,2025-02-03,121.2,1
t3,2025-02-03,123.2,1
c1,2025-02-10,118.6,0
c2,2025-02-10,121.6,0
c3,2025-02-10,124.1,0
t1,2025-02-10,119.6,1
t2,2025-02-10,122.6,1
t3,2025-02-10,124.6,1
c1,2025-02-17,121.0,0
c2,2025-02-17,124.0,0
c3,2025-02-17,126.5,0
t1,2025-02-17,122.0,1
t2,2025-02-17,125.0,1
t3,2025-02-17,127.0,1
c1,2025-02-24,119.6,0
c2,2025-02-24,122.6,0
c3,2025-02-24,125.1,0
t1,2025-02-24,120.6,1
t2,2025-02-24,123.6,1
t3,2025-02-24,125.6,1
c1,2025-03-03,123.5,0
c2,2025-03-03,126.5,0
c3,2025-03-03,129.0,0
t1,2025-03-03,133.5,1
t2,2025-03-03,136.5,1
t3,2025-03-03,138.5,1
c1,2025-03-10,120.8,0
c2,2025-03-10,123.8,0
c3,2025-03-10,126.3,0
t1,2025-03-10,131.4,1
t2,2025-03-10,134.4,1
t3,2025-03-10,136.4,1
c1,2025-03-17,123.8,0
c2,2025-03-17,126.8,0
c3,2025-03-17,129.3,0
t1,2025-03-17,135.0,1
t2,2025-03-17,138.0,1
t3,2025-03-17,140.0,1
c1,2025-03-24,125.1,0
c2,2025-03-24,128.1,0
c3,2025-03-24,130.6,0
t1,2025-03-24,136.9,1
t2,2025-03-24,139.9,1
t3,2025-03-24,141.9,1
c1,2025-03-31,124.4,0
c2,2025-03-31,127.4,0
c3,2025-03-31,129.9,0
t1,2025-03-31,136.8,1
t2,2025-03-31,139.8,1
t3,2025-03-31,141.8,1
c1,2025-04-07,125.8,0
c2,2025-04-07,128.8,0
c3,2025-04-07,131.3,0
t1,2025-04-07,138.8,1
t2,2025-04-07,141.8,1
t3,2025-04-07,143.8,1
c1,2025-04-14,128.2,0
c2,2025-04-14,131.2,0
c3,2025-04-14,133.7,0
t1,2025-04-14,141.8,1
t2,2025-04-14,144.8,1
t3,2025-04-14,146.8,1
c1,2025-04-21,126.8,0
c2,2025-04-21,129.8,0
c3,2025-04-21,132.3,0
t1,2025-04-21,141.0,1
t2,2025-04-21,144.0,1
t3,2025-04-21,146.0,1
c1,2025-04-28,130.7,0
c2,2025-04-28,133.7,0
c3,2025-04-28,136.2,0
t1,2025-04-28,145.5,1
t2,2025-04-28,148.5,1
t3,2025-04-28,150.5,1
c1,2025-05-05,128.0,0
c2,2025-05-05,131.0,0
c3,2025-05-05,133.5,0
t1,2025-05-05,143.4,1
t2,2025-05-05,146.4,1
t3,2025-05-05,148.4,1
c1,2025-05-12,131.0,0
c2,2025-05-12,134.0,0
c3,2025-05-12,136.5,0
t1,2025-05-12,147.0,1
t2,2025-05-12,150.0,1
t3,2025-05-12,152.0,1
c1,2025-05-19,132.3,0
c2,2025-05-19,135.3,0
c3,2025-05-19,137.8,0
t1,2025-05-19,148.9,1
t2,2025-05-19,151.9,1
t3,2025-05-19,153.9,1
c1,2025-05-26,131.6,0
c2,2025-05-26,134.6,0
c3,2025-05-26,137.1,0
t1,2025-05-26,148.8,1
t2,2025-05-26,151.8,1
t3,2025-05-26,153.8,1

